Title,Employer,Location,Published,Job Type,URL,Description
phd position in ic design group,university of twente,The netherlands,Published 2 years ago,PhD,https://academicpositions.com/ad/university-of-twente/2022/phd-position-in-ic-design-group/188333,"job descriptionthe university of twente (ut) is located in the east of the netherlands. it offers a dynamic campus, excellent facilities and the possibility to work in- and with- famous research gr..."
phd positions in cancer research,german cancer research center (dkfz),Germany,Published 1 year ago,PhD,https://academicpositions.com/ad/german-cancer-research-center-dkfz/2023/phd-positions-in-cancer-research/200322,are you looking for excellent research opportunities for your phd studies at the forefront of cancer research? the german cancer research center (dkfz) with its core site in heidelberg invites international students holding a master’s degree in (m...
international fully funded phd positions in the life sciences in switzerland,life science zurich graduate school,Switzerland,Published 1 year ago,PhD,https://academicpositions.com/ad/life-science-zurich-graduate-school-1/2023/international-fully-funded-phd-positions-in-the-life-sciences-in-switzerland/206141,"life science zurich graduate school offers more than 100 funded phd positions. with around 500 research groups and more than 1600 ph.d. students, the life science zurich graduate school is one of the largest graduate schools in europe. it has 17 h..."
phd candidate: top-down covalent adaptable and circular epoxy networks,maastricht university,The netherlands,Published 1 week ago,PhD,https://academicpositions.com/ad/maastricht-university/2024/phd-candidate-top-down-covalent-adaptable-and-circular-epoxy-networks/226073,"you are a highly motivated researcher with a msc degree in chemistry, holding skills in organic and polymer synthesis. you are willing to collaborate closely with both public and private partners on the development of top-down covalent adaptable a..."
"phd position, vision circuits lab (laura busse), faculty of biology, lmu munich",lmu faculty of biology,Germany,Published 1 week ago,PhD,https://academicpositions.com/ad/lmu-faculty-of-biology/2024/phd-position-vision-circuits-lab-laura-busse-faculty-of-biology-lmu-munich/226074,"a phd position is available in laura busse’s group at the division of neuroscience at the faculty of biology, lmu munich. we study the neural circuits of visual processing and perception in awake, behaving mice, where we combine electrophysiologic..."
phd for novel nanophotonic electron accelerator,the hebrew university of jerusalem,Israel,Published 10 months ago,PhD,https://academicpositions.com/ad/the-hebrew-university-of-jerusalem/2024/open-phd-position-novel-nanophotonic-electron-accelerator/211712,"about our campus: hebrew university’s edmond j. safra campus is a vibrant hub of academic and research excellence nestled in the heart of jerusalem. our modern campus boasts state-of-the-art lab facilities, world-renowned faculty, and a stimulatin..."
phd position (f/m/d): pioneering simulations of offshore wind farm turbulence,university of twente,The netherlands,Published 9 months ago,PhD,https://academicpositions.com/ad/university-of-twente/2024/phd-position-fmd-pioneering-simulations-of-offshore-wind-farm-turbulence/213571,"job descriptionwe are looking for a motivated phd candidate to delve into flow dynamics in offshore wind farms, developing novel computer simulations. as the scale of wind turbines and farms expand..."
doctoral fellowship in history and theory of architecture (2 positions),eth zürich,Switzerland,Published 4 days ago,PhD,https://academicpositions.com/ad/eth-zurich/2024/doctoral-fellowship-in-history-and-theory-of-architecture-2-positions/226291,"doctoral fellowship in history and theory of architecture (2 positions)the doctoral program at the institute of history and theory of architecture (gta), eth zurich, offers two fellowship positions..."
"upcoming fully funded phd positions in neurosciences and translational psychiatry research, including a residency/phd track option for medical doctors",international max planck research school for translational psychiatry (imprs-tp),Germany,Published 5 months ago,PhD,https://academicpositions.com/ad/international-max-planck-research-school-for-translational-psychiatry-imprs-tp/2024/upcoming-fully-funded-phd-positions-in-neurosciences-and-translational-psychiatry-research-including-a-residency-phd-track-option-for-medical-doctors/215109,thanks to all the academics who submitted their application!the application deadline has passed and the selection process started. more information for the new call-out will come up during the spring 2025. stay tuned! the international max planck ...
phd position (f/m/d): large-scale weather effects in wind farm simulations,university of twente,The netherlands,Published 8 months ago,PhD,https://academicpositions.com/ad/university-of-twente/2024/phd-position-fmd-large-scale-weather-effects-in-wind-farm-simulations/215466,"job descriptionthis phd project is part of the erc consolidator grant project windflow, which strives to develop groundbreaking large-eddy simulation strategies for wind farm flows. joining our tea..."
