Title,Employer,Location,Published,Closing In,Job Type,URL,Description
PhD position in IC Design group,University of Twente,"Enschede,, The Netherlands",Published 2 years ago,Closing on: 2024-12-31,PhD,https://academicpositions.com/ad/university-of-twente/2022/phd-position-in-ic-design-group/188333,"Job descriptionThe University of Twente (UT) is located in the east of the Netherlands. It offers a dynamic campus, excellent facilities and the possibility to work in- and with- famous research gr..."
PhD Positions in Cancer Research,German Cancer Research Center (DKFZ),"Heidelberg,, Germany",Published 1 year ago,Closing on: 2025-04-24,PhD,https://academicpositions.com/ad/german-cancer-research-center-dkfz/2023/phd-positions-in-cancer-research/200322,Are you looking for excellent research opportunities for your PhD studies at the forefront of cancer research? The German Cancer Research Center (DKFZ) with its core site in Heidelberg invites international students holding a Master’s degree in (m...
International Fully Funded PhD Positions in the Life Sciences in Switzerland,Life Science Zurich Graduate School,"Zurich,, Switzerland",Published 1 year ago,,PhD,https://academicpositions.com/ad/life-science-zurich-graduate-school-1/2023/international-fully-funded-phd-positions-in-the-life-sciences-in-switzerland/206141,"Life Science Zurich Graduate School offers more than 100 funded PhD positions. With around 500 research groups and more than 1600 Ph.D. students, the Life Science Zurich Graduate School is one of the largest graduate schools in Europe. It has 17 h..."
PhD candidate: top-down covalent adaptable and circular epoxy networks,Maastricht University,"Maastricht,, The Netherlands",Published 1 week ago,Closing on: 2024-12-31,PhD,https://academicpositions.com/ad/maastricht-university/2024/phd-candidate-top-down-covalent-adaptable-and-circular-epoxy-networks/226073,"You are a highly motivated researcher with a MSc degree in chemistry, holding skills in organic and polymer synthesis. You are willing to collaborate closely with both public and private partners on the development of top-down covalent adaptable a..."
"PhD position, Vision circuits lab (Laura Busse), Faculty of Biology, LMU Munich",LMU Faculty of Biology,"Planegg,, Germany",Published 1 week ago,Closing on: 2025-02-17,PhD,https://academicpositions.com/ad/lmu-faculty-of-biology/2024/phd-position-vision-circuits-lab-laura-busse-faculty-of-biology-lmu-munich/226074,"A PhD position is available in Laura Busse’s group at the Division of Neuroscience at the Faculty of Biology, LMU Munich. We study the neural circuits of visual processing and perception in awake, behaving mice, where we combine electrophysiologic..."
PhD for Novel Nanophotonic Electron Accelerator,The Hebrew University of Jerusalem,"Jerusalem,, Israel",Published 10 months ago,Closing on: 2025-02-01,PhD,https://academicpositions.com/ad/the-hebrew-university-of-jerusalem/2024/open-phd-position-novel-nanophotonic-electron-accelerator/211712,"About our Campus: Hebrew University’s Edmond J. Safra Campus is a vibrant hub of academic and research excellence nestled in the heart of Jerusalem. Our modern campus boasts state-of-the-art lab facilities, world-renowned faculty, and a stimulatin..."
PhD position (f/m/d): Pioneering simulations of offshore wind farm turbulence,University of Twente,"Enschede,, The Netherlands",Published 9 months ago,Closing on: 2024-12-21,PhD,https://academicpositions.com/ad/university-of-twente/2024/phd-position-fmd-pioneering-simulations-of-offshore-wind-farm-turbulence/213571,"Job descriptionWe are looking for a motivated PhD candidate to delve into flow dynamics in offshore wind farms, developing novel computer simulations. As the scale of wind turbines and farms expand..."
Doctoral fellowship in History and Theory of Architecture (2 positions),ETH Zürich,"Zurich,, Switzerland",Published 4 days ago,,PhD,https://academicpositions.com/ad/eth-zurich/2024/doctoral-fellowship-in-history-and-theory-of-architecture-2-positions/226291,"Doctoral fellowship in History and Theory of Architecture (2 positions)The doctoral program at the Institute of History and Theory of Architecture (gta), ETH Zurich, offers two fellowship positions..."
"Upcoming fully funded PhD Positions in Neurosciences and Translational Psychiatry research, including a residency/PhD track option for medical doctors",International Max Planck Research School for Translational Psychiatry (IMPRS-TP),"Munich,, Germany",Published 5 months ago,Closing on: 2025-06-14,PhD,https://academicpositions.com/ad/international-max-planck-research-school-for-translational-psychiatry-imprs-tp/2024/upcoming-fully-funded-phd-positions-in-neurosciences-and-translational-psychiatry-research-including-a-residency-phd-track-option-for-medical-doctors/215109,Thanks to all the academics who submitted their application!The application deadline has passed and the selection process started. More information for the new call-out will come up during the Spring 2025. Stay tuned! The International Max Planck ...
PhD position (f/m/d): Large-scale weather effects in wind farm simulations,University of Twente,"Enschede,, The Netherlands",Published 8 months ago,Closing on: 2024-12-21,PhD,https://academicpositions.com/ad/university-of-twente/2024/phd-position-fmd-large-scale-weather-effects-in-wind-farm-simulations/215466,"Job descriptionThis PhD project is part of the ERC Consolidator Grant project WINDFLOW, which strives to develop groundbreaking large-eddy simulation strategies for wind farm flows. Joining our tea..."
PhD position (f/m/d): Assessing the interplay between wind farms and clouds,University of Twente,"Enschede,, The Netherlands",Published 8 months ago,Closing on: 2024-12-21,PhD,https://academicpositions.com/ad/university-of-twente/2024/phd-position-fmd-assessing-the-interplay-between-wind-farms-and-clouds/215468,"Job descriptionThis PhD project is part of the ERC Consolidator Grant project WINDFLOW, which strives to develop groundbreaking large-eddy simulation strategies for wind farm flows. Your research w..."
"PhD Position F/M 15 PhDs on Tensor Modelling, Geometry and Optimisation",Inria,"Sophia-Antipolis,, France",Published 8 months ago,Closing on: 2024-12-31,PhD,https://academicpositions.com/ad/inria/2024/phd-position-f-m-15-phds-on-tensor-modelling-geometry-and-optimisation/215711,Contract type : Fixed-term contractLevel of qualifications required : Graduate degree or equivalentOther valued qualifications : Master or equivalentFonction : PhD PositionLevel of experience : From 3 to 5 yearsAbout the research centre or Inria d...
Marie-Curie (MSCA) doctoral fellowship: PhD in Structural Dynamics and SHM,KU Leuven,"Leuven,, Belgium",Published 7 months ago,Closing on: 2024-12-10,PhD,https://academicpositions.com/ad/ku-leuven/2024/marie-curie-msca-doctoral-fellowship-phd-in-structural-dynamics-and-shm/216781,Applications are invited for a Marie-Curie doctoral fellowship: https://marie-sklodowska-curie-actions.ec.europa.eu/actions/doctoral-networks This is a full-time PhD post within the Department of M...
PhD en Droit constitutionnel luxembourgeois,University of Luxembourg,"Esch-sur-Alzette,, Luxembourg",Published 6 months ago,,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-en-droit-constitutionnel-luxembourgeois/217360,"Le département de Droit de la Faculté de Droit, d'Economie et de Finance recherche un/e chercheur/se en formation doctorale en Droit constitutionnel luxembourgeois.Your Role...Le/la chercheur/se en..."
PhD en Droit constitutionnel luxembourgeois,University of Luxembourg,"Esch-sur-Alzette,, Luxembourg",Published 6 months ago,,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/phd-en-droit-constitutionnel-luxembourgeois/217362,"Le département de Droit de la Faculté de Droit, d'Economie et de Finance recherche un/e chercheur/se en formation doctorale en Droit constitutionnel luxembourgeois.Your Role...Le/la chercheur/se en..."
PhD Researcher in Learning-based control algorithms for avatar animation in dyadic interactions,Ghent University,"Ghent,, Belgium",Published 6 months ago,Closing on: 2024-12-31,PhD,https://academicpositions.com/ad/ghent-university/2024/phd-researcher-in-learning-based-control-algorithms-for-avatar-animation-in-dyadic-interactions/217964,"Last application date Dec 31, 2024 00:00Department TW05 - Department of Information TechnologyContract Limited durationDegree European master's degree in computer science, Artificial Intelligence, or equivalentOccupancy rate 100%Vacancy type Resea..."
Doctoral Candidate (PhD Position) in Domain Adaptation for Space Applications,University of Luxembourg,Luxembourg,Published 6 months ago,Closing on: 2025-05-23,PhD,https://academicpositions.com/ad/university-of-luxembourg/2024/doctoral-candidate-phd-position-in-domain-adaptation-for-space-applications/218092,"About the SnTSnT is a leading international research and innovation centre in secure, reliable and trustworthy ICT systems and services. We play an instrumental role in Luxembourg by fueling innova..."
"Doctoral Positions in Management in various areas of specialisation, with five-year funding for all admitted PhD candidates",INSEAD,"Fontainebleau,, France",Published 6 months ago,Closing on: 2024-12-15,PhD,https://academicpositions.com/ad/insead/2024/doctoral-positions-in-management-in-various-areas-of-specialisation-with-five-year-funding-for-all-admitted-phd-candidates/218111,"INSEAD, one of the world's leading and most diverse business schools, is renowned for its commitment to producing leaders who positively impact society. With campuses in Europe, Asia, and the Middle East, INSEAD offers its students an unparalleled..."
Upcoming PhD Positions at the International Max Planck Research School for Molecules of Life in Autumn 2025,International Max Planck Research School for Molecules of Life (IMPRS-ML),"Munich,, Germany",Published 5 months ago,Closing on: 2025-06-30,PhD,https://academicpositions.com/ad/international-max-planck-research-school-for-molecules-of-life-imprs-ml/2024/upcoming-phd-positions-at-the-international-max-planck-research-school-for-molecules-of-life-in-autumn-2024/218174,"Thanks to everyone who submitted their application! The application deadline has now passed, and the selection process started. The International Max Planck Research School for Molecules of Life (IMPRS-ML) currently has an open call for fully fund..."
