Title,Employer,Location,Published,Closing In,Job Type,URL,Description
"PhD position on multi-material additive manufacturing: manufacturability, microstructure and mechanical properties","Advanced Manufacturing group (AMLZ), Department of Mechanical and Process Engineering (D-MAVT)","ETH Zurich, Switzerland",29.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_VWVZ0xippjDHBBOQwA,"The Advanced Manufacturing Lab (AMLZ) opens a PhD position to kick-start a 5-years Franco-Swiss research project on the manufacturing, characterization and modelling of additively manufactured multi-material parts. Focussing on one additive manufacturing process, Laser Powder Bed Fusion, this first PhD will lay the basis of feasibility and mechanical properties of bi-material parts."
Doctoral fellowship in History and Theory of Architecture (2 positions),Institute for the History and Theory of Architecture,"ETH Zurich, Switzerland",28.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_QgLHmu0UqQvDH9GC1d,"The doctoral program at the Institute of History and Theory of Architecture (gta), ETH Zurich, offers two fellowship positions to start on 1 October 2025."
PhD Position in Decarbonizing the Future of the Chemical Industry,"Environmental Engineering, Environmental Sciences, Chemical Engineering, Process Engineering, Technical Chemistry, Computational Chemistry","ETH Zurich, Switzerland",25.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_Xk2pz707B2UIjZAmoY,The Ecological Systems Design Group at ETH Zürich is an internationally leading research group in the field of modelling and improving the resource efficiency and environmental performance of products and processes from a systems perspective. We are inviting applications to fill a PhD position in “Decarbonizing the Future of the Chemical Industry”.
PhD position: Automated thermodynamics lab for molecular and process design,Energy and Process Systems Engineering,"ETH Zurich, Switzerland",21.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_yED0PYxTnJZ8RfxRfZ,"The Energy and Process Systems Engineering (EPSE) Group at ETH Zürich is looking for a doctoral student to work experimentally on thermophysical property data of fluids. The EPSE group at ETH Zurich, led by Prof. Dr. André Bardow, is dedicated to advancing sustainable energy and chemical process systems. Our research spans from the molecular level to the scale of systems. We develop methods to advance sustainable energy and chemical process systems from the molecular to the scale of the systems. Our work combines computer-aided molecular and process design to optimize molecules and processes simultaneously. To holistically evaluate the environmental impacts of chemicals and energy systems, we develop predictive methods for Life Cycle Assessment. Our technological focus is sector coupling, sustainable carbon feedstock, and carbon capture, utilization, and storage."
PhD position in Sustainable Biogenic Carbon Pathways,Institute of Environmental Engineering / Ecological Systems Design Group,"ETH Zurich, Switzerland",21.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_uwS0ni1eOQYiEYf79H,The Ecological Systems Design Group at ETH Zürich is an internationally leading research group in the field of modeling and improving the resource efficiency and environmental performance of products and processes from a systems perspective. We are inviting applications to fill a PhD position in “Sustainable Biogenic Carbon Pathways”.
"Doctoral researcher position in the SNSF Research Project ""Digital Construction Archive""","Construction Heritage and Preservation, Department of Architecture","ETH Zurich, Switzerland",18.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_nn9mRtrZVuBfnqTujc,"We are searching for a doctoral researcher (f/m/d) within the framework of the research project ""Digital Construction Archive"" starting February 2025 or upon agreement. This project is funded by the Swiss National Science Foundation (SNSF) and will be led by Construction Heritage and Preservation, ETH Zürich in collaboration with the ETH Materials Hub and Material-Archiv. The research is also supported by the NCCR Digital Fabrication. The “Digital Construction Archive” research project includes a further PhD position and a postdoctoral position, both of which have been filled."
PhD Position in Geochemistry of Enhanced Rock Weathering,Earth and Planetary Sciences Department,"ETH Zurich, Switzerland",18.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_zpH2q3qicOs2Fn3hXd,"We seek a PhD student to develop and evaluate new geochemical tracers for the quantification of carbon dioxide removal and monitoring of potential heavy metal pollution following enhanced rock weathering (ERW) applications. This position is integral to the research team, which includes 2 PhD students and 1 postdoctoral researcher across the three research groups involved in the project."
PhD Position in Soil Biogeochemistry of Enhanced Rock Weathering,Environmental Sciences,"ETH Zurich, Switzerland",18.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_Xj4J6UO74z3E2zwRjk,"We seek a PhD student to study the effects of Enhanced Rock Weathering (ERW) applications on biogeochemical cycles, plant growth and soil health with a particular focus on degraded soils in tropical agroecosystems. This position is integral to the research team, which includes 2 PhD students and 1 postdoctoral researcher across three research groups."
PhD position in THz dynamics of quantum materials,Institute for Quantum Electronics – Department of Physics,"ETH Zurich, Switzerland",18.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_aUCdcbdCsMgRnWZAWp,"The Quantum Material Dynamics group (Prof. Elsa Abreu, qmd.ethz.ch) in the Department of Physics of ETH Zürich has an open PhD position in THz dynamics of quantum materials."
PhD Position on Soil Biogeochemical Dynamics of Alpine Catchments,Institute of Terrestrial Ecosystems ITES,"ETH Zurich, Switzerland",18.11.2024,,PhD,https://www.jobs.ethz.ch/job/view/JOPG_ethz_GZRMyMSM7eYGGkCFWM,"We seek a PhD student to study the effects of soil redistribution on biogeochemical fluxes as well as carbon and nutrient storage in Swiss alpine catchments with contrasting geological background. This position is integral to an interdisciplinary research team, which includes 3 PhD students across groups at ETH Zurich and EPF Lausanne."
