Title,Employer,Location,Salary,Closing Date,URL,Description
The Ainsworth 4 Foundation Future Leadership Fellowship,The Westmead Institute for Medical Research,"Westmead, Sydney","$125,620 AUD base salary + Superannuation",31 Jan 2025,https://www.nature.com/naturecareers/job/12832742/the-ainsworth-4-foundation-future-leadership-fellowship/?LinkSource=PremiumListing,"The Westmead Institute for Medical Research (WIMR) is offering a unique opportunity for an outstanding early to mid-career researcher with international experience to return to Australia and establish an independent research program. This position, titled The Ainsworth 4 Foundation Future Leadership Fellowship, is supported by a three-year fellowship that provides the resources and platform to drive impactful research within WIMR’s translational research framework. This Fellowship aligns with WIMR’s Strategic Plan – Towards 2030, where Precision Medicine is a core priority, and is designed to support innovative research with high potential to improve health outcomes."
"Faculty Positions at the Center for Machine Learning Research (CMLR), Peking University","Center for Machine Learning Research (CMLR), Peking University","Beijing, China",Competitive salary,22 Dec 2024,https://www.nature.com/naturecareers/job/12831370/faculty-positions-at-the-center-for-machine-learning-research-cmlr-peking-university/?LinkSource=PremiumListing,"The Center for Machine Learning Research (CMLR) is a newly founded interdisciplinary research center at Peking University. Its goal is to advance machine learning-related research across a wide range of disciplines including mathematics, the sciences (physics, chemistry, biology, material science, engineering), and computer science, with an emphasis on the theoretical foundation of machine learning, new algorithms, and AI for Science."
PhD Candidate (m/f/d): Spatial Metabolomics,Leibniz-Institut für Analytische Wissenschaften – ISAS – e.V.,"Dortmund, Nordrhein-Westfalen (DE)",The salary will be according to the German TV-L,20 Jan 2025,https://www.nature.com/naturecareers/job/12832448/phd-candidate-m-f-d-spatial-metabolomics/?LinkSource=PremiumListing,"The Leibniz-Institut für Analytische Wissenschaften - ISAS - e. V. develops efficient analytical methods for health research. Thus, it contributes to the improvement of the prevention, early diagnosis, and therapy of diseases like cardiovascular diseases, autoimmune diseases or cancer. Overall, the institute strives to advance precision medicine by combining knowledge from different fields such as biology, chemistry, pharmacology, physics, and computer science. ISAS is a member of the Leibniz Association and is publicly funded by the Federal Republic of Germany and its federal states."
PhD Candidate (m/f/d): Analysis of Microscopic BIOMedical Images (AMBIOM),Leibniz-Institut für Analytische Wissenschaften – ISAS – e.V.,"Dortmund, Nordrhein-Westfalen (DE)",The salary will be according to the German TV-L,20 Dec 2024,https://www.nature.com/naturecareers/job/12832391/phd-candidate-m-f-d-analysis-of-microscopic-biomedical-images-ambiom-/?LinkSource=PremiumListing,"The Leibniz-Institut für Analytische Wissenschaften - ISAS - e. V. develops efficient analytical methods for health research. Thus, it contributes to the improvement of the prevention, early diagnosis, and therapy of diseases like cardiovascular diseases, autoimmune diseases or cancer. Overall, the institute strives to advance precision medicine by combining knowledge from different fields such as biology, chemistry, pharmacology, physics, and computer science. ISAS is a member of the Leibniz Association and is publicly funded by the Federal Republic of Germany and its federal states.  A new project area in the institute is the development of artificial intelligence (AI) software for biomedical image analysis and building tools for AI-based software quality assurance."
Head of the Translational Cancer Research Laboratory,Northwell,"Manhasset, New York",The salary of the person selected will be determined by a variety of factors.,31 Dec 2024,https://www.nature.com/naturecareers/job/12832246/head-of-the-translational-cancer-research-laboratory/?LinkSource=PremiumListing,Northwell Health has formed a strategic partnership with the NCI-designated Cancer Center at Cold Spring Harbor Laboratory (CSHL). The institutions are deeply committed to fostering collaborations to transform basic science discoveries into new therapies.
"Doctoral positions at International Max Planck Research School for Biology and Computation, Berlin",Max Planck Institute for Molecular Genetics (MPI-MG),Berlin (DE),Work contract for 3 years,7 Jan 2025,https://www.nature.com/naturecareers/job/12831996/doctoral-positions-at-international-max-planck-research-school-for-biology-and-computation-berlin/?LinkSource=PremiumListing,"We are looking for outstanding graduates from all over the world and are delighted to provide them with the best possible conditions for their scientific careers. The graduate program IMPRS for Biology and Computation (IMPRS-BAC) provides an interdisciplinary education for doctoral candidates at the interface of molecular life sciences and computational sciences. This is based on perspective and supervision from both ends - experimental and computational - and suits graduates with degrees in molecular biology, biochemistry, mathematics, bioinformatics or any related areas. If you have a passion for epigenetics, bioinformatics, developmental biology, mathematics, sequence analysis, gene regulation, RNA biology, mechanobiology, protein biochemistry, stem cells and differentiation, statistics, molecular evolution or biophysics and want to work at the Max Planck Institute for Molecular Genetics or the Freie Universität Berlin - this is the doctoral program for you!"
PhD or Junior Postdoc to investigate molecular mechanisms in the field immune-rejuvenation,Sentcell LTD,"Toscana Life Sciences, within the GSK Campus, Siena (Italy)",excellent career progression with competitive salary plus bonuses,4 Jan 2025,https://www.nature.com/naturecareers/job/12831845/phd-or-junior-postdoc-to-investigate-molecular-mechanisms-in-the-field-immune-rejuvenation-/?LinkSource=PremiumListing,"In the compelling and unstoppable research in favor of cellular rejuvenation, Sentcell LTD is looking for Master/PhD student or Junior Postdoc (the latter with Felasa Certificate) to investigate molecular mechanisms and innovative therapies at basis of T cell and systemic rejuvenation. The studies will be held at our new laboratory located at the Toscana Life Sciences, within the GSK Campus, in Siena, Italy."
PhD studentship in Analytical Chemistry,Urban Lab at National Tsing Hua University,Hsinchu (TW),Scholarship from the school,31 Dec 2024,https://www.nature.com/naturecareers/job/12831721/phd-studentship-in-analytical-chemistry/?LinkSource=PremiumListing,Urban Lab invites applications for PhD studentship in Analytical Chemistry.
Faculty (Open Rank) - Bioengineering and Immunoengineering,"University of Chicago, Pritzker School of Molecular Engineering","Chicago, Illinois",Commensurate with Experience,23 Dec 2024,https://www.nature.com/naturecareers/job/12831452/faculty-open-rank-bioengineering-and-immunoengineering/?LinkSource=PremiumListing,"The Pritzker School of Molecular Engineering (PME) at the University of Chicago invites applications for multiple faculty positions (open rank) in Bioengineering and Immunoengineering at both the Assistant Professor and Associate/Full Professor levels. The PME is a unique interdisciplinary school with significant strengths in immunoengineering, quantum engineering, and advanced materials engineering. We are interested in expanding our research themes into new areas in bioengineering and systems biology, broadly defined."
20 PhD Positions in MSCA Doctoral Network NATPRIME: Effective Delivery of NATs via Nanocarriers,The University of Warwick -NATPRIME,"UK, The Netherlands, Germany, Spain, France, Turkey, Sweden, Denmark, Belgium","Gross amount 48,000 euros (EU country coefficients and tax will apply)",17 Dec 2024,https://www.nature.com/naturecareers/job/12831083/20-phd-positions-in-msca-doctoral-network-natprime-effective-delivery-of-nats-via-nanocarriers/?LinkSource=PremiumListing,20 Fully Funded PhD Positions in MSCA Doctoral Network NATPRIME: Effective Delivery of Nucleic Acid Therapeutics via Designed Nanocarriers
